ID,Título,Enlace,Precio,Detalles,Descripción
106253657,"Piso en Jardí de Tòquio, Pedralbes, Barcelona",https://www.idealista.com/inmueble/106253657/,2.755.000€,5 hab. | 266 m² | Planta 2ª exterior con ascensor,"Espectacular vivienda reformada a estrenar en Pedralbes.
Esta vivienda única y exclusiva de alto standing ese encuentra en una ubicación privilegiada junto a la Cruz de Pedralbes, una de las áreas más prestigiosas de Barcelona. Dispone de 259,37 m2 construidos interiores y una terraza de 14 m2.
El piso se sitúa un edificio extraordinario, catalogado como parte de nuestro valioso patrimonio cultural en la ciudad de Barcelona. Su diseño hexagonal, con elegantes celosías de madera natural y amplios ventanales, es verdaderamente distintivo. Ade"
102772221,"Piso en calle de Provença, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/102772221/,2.380.000€,3 hab. | 243 m² | Planta 1ª exterior con ascensor,"Espectacular y amplio Principal con terraza en Eixample.
Maravilloso piso totalmente reformado en pleno Eixample, al lado de Rambla Catalunya y a solo dos calles del Paseo de Gracia y La Pedrera. Es una de las zonas más cotizadas de Barcelona, rodeada de todos los servicios para el día a día, comercios de todo tipo desde tiendas de barrio hasta boutiques de primeras marcas, entidades e instituciones de prestigio y perfecta conexión mediante transporte público.
Esta propiedad ocupa toda la planta Principal del edificio y tiene 220 m2 construid"
106220589,"Piso en calle del Bruc, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/106220589/,1.150.000€,5 hab. | 226 m² | Planta 1ª exterior sin ascensor,"Magnífico piso de 199 m² construidos en una finca señorial de 1910 combina historia y elegancia en pleno corazón de l'Eixample Dreta. Con detalles arquitectónicos originales como suelos de nolla y techos artesonados, ofrece una experiencia única de vivir en un inmueble que refleja el carácter modernista de la época.
La vivienda cuenta con cinco amplias habitaciones y cinco baños, distribuidos de manera que cada espacio recibe abundante luz natural. Las estancias conectan ambas fachadas, una con balcones y tribuna, y otra orientada hacia un tra"
106227283,"Piso en paseo de Gràcia, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/106227283/,1.350.000€,3 hab. | 119 m² | Planta 1ª exterior con ascensor,"Espectacular propiedad de lujo en Paseo de Gracia, justo frente a la icónica Casa Batlló. Situada en un edificio diseñado por el prestigioso arquitecto Josep Puig i Cadafalch, esta vivienda combina historia y modernidad en sus 119 m² construidos, ofreciendo una experiencia de vida exclusiva en una ubicación incomparable. pada con electrodomésticos de alta gama, añade un toque contemporáneo a los espacios. Además, la propiedad cuenta con una master suite con vestidor y baño, una segunda habitación doble y una tercera habitación con baño y vestid"
106264161,"Piso en calle de Tòquio, Pedralbes, Barcelona",https://www.idealista.com/inmueble/106264161/,1.380.000€,3 hab. | 195 m² | Planta 1ª exterior con ascensor,"Exclusivo inmueble de 195 m² construidos ubicado en un edificio de 1977 del barrio de Pedralbes, destaca por su excelente estado de conservación. Situada en una primera planta exterior, la vivienda cuenta con 3 amplias habitaciones y 3 baños. La habitación principal es en suite, con un elegante walk-in closet, brindando un espacio de almacenamiento y privacidad excepcionales. Además, dispone de una agradable terraza y dos plazas de garaje incluidas en el precio, lo que la convierte en una opción muy atractiva.
Entre sus detalles más destacable"
106321776,"Piso en calle de Tòquio, Pedralbes, Barcelona",https://www.idealista.com/inmueble/106321776/,1.380.000€,3 hab. | 195 m² | Planta 1ª exterior con ascensor,"Este luminoso piso de 190 m2 construidos interiores, terraza de 11 m2, 3 habitaciones y 2 plazas de parking se sitúa en un edificio singular del barrio de Pedralbes, premiado por su diseño. La zona es una de las más prestigiosas y tranquilas de toda Barcelona, ideal para quienes buscan el mejor confort en su día a día.
El recibidor de la entrada principal da paso directamente al amplio salón a doble altura, ideal para diferenciar los ambientes de sala de estar y de comedor. Tiene acceso a la agradable terraza de 11 m2, con espacio para mesa y"
101941647,"Piso en calle de Girona, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/101941647/,1.200.000€,3 hab. | 131 m² | Planta 3ª exterior con ascensor,"Este sensacional piso tiene una ubicación excelente de Barcelona y se encuentra en una finca regia de 1910 totalmente rehabilitada. El edificio es esquinero con la calle Girona, que ya se está transformando en calle peatonal y las obras están casi acabadas, y la Avenida Diagonal, que se está convirtiendo en una avenida tipo boulevard con una gran zona peatonal, zonas verdes y carril bici, reduciendo mucho el tráfico de vehículos. Podrás disfrutar de lo mejor de Barcelona en un lugar incomparable: en pleno Eixample, muy cerca del Paseo de Gracia"
101689754,"Piso en calle de Girona, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/101689754/,1.545.000€,3 hab. | 213 m² | Planta 1ª exterior con ascensor,"Este magnífico piso de lujo reformado con la más alta calidad es sinónimo de sofisticación y comodidad. Se encuentra al principio de la calle Girona, que se está transformando en peatonal. Se trata de una zona ideal del Eixample muy cerca del centro de la ciudad y del barrio del Born, rodeada de servicios, restaurantes, comercios, atractivos culturales, zonas verdes y oferta de transporte público.
La vivienda está en una preciosa finca regia en perfecto estado, que mantiene todos los detalles de la arquitectura clásica barcelonesa, con portón"
104990368,"Piso en calle de Ganduxer, Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/inmueble/104990368/,995.000€,3 hab. | 127 m² | Planta 3ª exterior con ascensor,"Fantástico y luminoso piso esquinero de 127 m2 construidos y 3 habitaciones con vistas agradables y muy despejadas a la plaza de Ferran Casablancas. Reformado integralmente en 2020 con acabados de lujo, se sitúa en la 3ª planta de un edificio clásico en el barrio de La Bonanova, una de las mejores zonas residenciales de Barcelona.
El enorme salón-comedor con cocina abierta e isla central es el lugar ideal para disfrutar del confort en el día a día. Su orientación este y los grandes ventanales le aportan mucha luz natural, con la ventaja de di"
106212126,"Ático en calle de Girona, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/inmueble/106212126/,675.000€,2 hab. | 83 m² | Planta 5ª exterior con ascensor,"Magnífico ático recientemente renovado, ubicado en una finca regia catalogada de 1909. La vivienda se sitúa en una quinta planta real, en edificio esquinero, con orientación sur, lo que le proporciona abundante luz natural y vistas despejadas.
El piso se distribuye en un salón-comedor conectado a una cocina de concepto abierto con gran isla, dos dormitorios dobles y un espacioso baño completo. La vivienda cuenta con 3 balcones parisinos.
La cocina está completamente equipada con electrodomésticos de alta gama, incluyendo vinoteca y lavadora."
